rank,attack_id,attack_vector,final_score,threat_grade,Public Internet / Edge multiplier,Public Internet / Edge grade,Identity / IAM multiplier,Identity / IAM grade,Cloud Control Plane multiplier,Cloud Control Plane grade,SaaS / Office / Email multiplier,SaaS / Office / Email grade,Network / Perimeter multiplier,Network / Perimeter grade,Server / Workload multiplier,Server / Workload grade,Data / Storage multiplier,Data / Storage grade,Endpoint / User multiplier,Endpoint / User grade,Containers / Kubernetes multiplier,Containers / Kubernetes grade,ESXi / Hypervisor multiplier,ESXi / Hypervisor grade,Mobile multiplier,Mobile grade,ICS / OT multiplier,ICS / OT grade
112,T1056.003,Web Portal Capture,6.94,Medium High,1.21,High,1.228,High,1.0,Not Material,1.056,Low,1.238,High,1.209,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
113,T1565.001,Stored Data Manipulation,6.94,Medium High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.098,Low,1.0,Not Material,1.165,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
114,T1498,Network Denial of Service,6.94,Medium High,1.298,High,1.0,Not Material,1.272,High,1.098,Low,1.238,High,1.22,High,1.087,Low,1.105,Low,1.22,High,1.0,Not Material,1.036,Low,1.0,Not Material
115,T1602.002,Network Device Configuration Dump,6.94,Medium High,1.157,Moderate,1.28,High,1.0,Not Material,1.14,Moderate,1.238,High,1.176,Moderate,1.225,High,1.06,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
116,T1565,Data Manipulation,6.94,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.165,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
117,T1213.001,Confluence,6.94,Medium High,1.157,Moderate,1.28,High,1.272,High,1.266,High,1.188,Moderate,1.0,Not Material,1.087,Low,1.0,Not Material,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
118,T1667,Email Bombing,6.94,Medium High,1.245,High,1.28,High,1.0,Not Material,1.28,High,1.0,Not Material,1.198,Moderate,1.175,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
119,T1568.003,DNS Calculation,6.94,Medium High,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
120,T1565.003,Runtime Data Manipulation,6.94,Medium High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.165,Moderate,1.25,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
121,T1498.001,Direct Network Flood,6.94,Medium High,1.245,High,1.0,Not Material,1.272,High,1.0,Not Material,1.238,High,1.22,High,1.087,Low,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
122,T1496.004,Cloud Service Hijacking,6.94,Medium High,1.245,High,1.28,High,1.32,Severe,1.28,High,1.0,Not Material,1.099,Low,1.087,Low,1.022,Low,1.022,Low,1.0,Not Material,1.024,Low,1.0,Not Material
123,T1496.003,SMS Pumping,6.94,Medium High,1.245,High,1.28,High,1.272,High,1.21,High,1.075,Low,1.099,Low,1.087,Low,1.022,Low,1.022,Low,1.0,Not Material,1.024,Low,1.0,Not Material
124,T1496.002,Bandwidth Hijacking,6.94,Medium High,1.298,High,1.0,Not Material,1.32,Severe,1.0,Not Material,1.188,Moderate,1.22,High,1.087,Low,1.135,Moderate,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
125,T1213.004,Customer Relationship Management Software,6.94,Medium High,1.245,High,1.157,Moderate,1.272,High,1.28,High,1.05,Low,1.0,Not Material,1.175,Moderate,1.0,Not Material,1.022,Low,1.0,Not Material,1.024,Low,1.0,Not Material
126,T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,6.94,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.176,Moderate,1.175,Moderate,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.113,Moderate
127,T1140,Deobfuscate/Decode Files or Information,6.25,Medium High,1.0,Not Material,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.05,Low,1.209,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
128,T1070.004,File Deletion,6.25,Medium High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.176,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
129,T1547.001,Registry Run Keys / Startup Folder,6.25,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.175,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
130,T1112,Modify Registry,6.25,Medium High,1.0,Not Material,1.228,High,1.064,Low,1.098,Low,1.0,Not Material,1.22,High,1.05,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
131,T1555.003,Credentials from Web Browsers,6.25,Medium High,1.087,Low,1.228,High,1.064,Low,1.112,Moderate,1.0,Not Material,1.121,Moderate,1.225,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
132,T1021.002,SMB/Windows Admin Shares,6.25,Medium High,1.07,Low,1.28,High,1.0,Not Material,1.0,Not Material,1.25,High,1.209,Moderate,1.05,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
133,T1070.006,Timestomp,6.25,Medium High,1.0,Not Material,1.0,Not Material,1.064,Low,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
134,T1021.001,Remote Desktop Protocol,6.25,Medium High,1.07,Low,1.28,High,1.0,Not Material,1.0,Not Material,1.25,High,1.209,Moderate,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
135,T1078,Valid Accounts,6.25,Medium High,1.315,Severe,1.35,Severe,1.32,Severe,1.28,High,1.188,Moderate,1.22,High,1.0,Not Material,1.15,Moderate,1.22,High,1.304,High,1.036,Low,1.0,Not Material
136,T1570,Lateral Tool Transfer,6.25,Medium High,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.2,Moderate,1.209,Moderate,1.137,Moderate,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
137,T1555,Credentials from Password Stores,6.25,Medium High,1.087,Low,1.228,High,1.32,Severe,1.056,Low,1.0,Not Material,1.176,Moderate,1.225,High,1.105,Low,1.022,Low,1.0,Not Material,1.036,Low,1.0,Not Material
138,T1027.015,Compression,6.25,Medium High,1.087,Low,1.123,Moderate,1.0,Not Material,1.098,Low,1.0,Not Material,1.176,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
139,T1070,Indicator Removal,6.25,Medium High,1.157,Moderate,1.157,Moderate,1.272,High,1.28,High,1.188,Moderate,1.176,Moderate,1.175,Moderate,1.15,Moderate,1.22,High,1.304,High,1.036,Low,1.0,Not Material
140,T1027.001,Binary Padding,6.25,Medium High,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
141,T1027.011,Fileless Storage,6.25,Medium High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.209,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
142,T1003.002,Security Account Manager,6.25,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.056,Low,1.0,Not Material,1.176,Moderate,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
143,T1686,Disable or Modify System Firewall,6.25,Medium High,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.176,Moderate,1.05,Low,1.135,Moderate,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
144,T1027.003,Steganography,6.25,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
145,T1134,Access Token Manipulation,6.25,Medium High,1.052,Low,1.35,Severe,1.064,Low,1.0,Not Material,1.0,Not Material,1.22,High,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
146,T1003.003,NTDS,6.25,Medium High,1.0,Not Material,1.228,High,1.112,Moderate,1.056,Low,1.0,Not Material,1.121,Moderate,1.225,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
147,T1027.009,Embedded Payloads,6.25,Medium High,1.087,Low,1.0,Not Material,1.0,Not Material,1.056,Low,1.125,Moderate,1.176,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
148,T1554,Compromise Host Software Binary,6.25,Medium High,1.087,Low,1.228,High,1.0,Not Material,1.154,Moderate,1.05,Low,1.22,High,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
149,T1003,OS Credential Dumping,6.25,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.056,Low,1.0,Not Material,1.121,Moderate,1.225,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
150,T1550.002,Pass the Hash,6.25,Medium High,1.07,Low,1.35,Severe,1.0,Not Material,1.0,Not Material,1.25,High,1.154,Moderate,1.05,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
151,T1070.009,Clear Persistence,6.25,Medium High,1.0,Not Material,1.28,High,1.112,Moderate,1.084,Low,1.0,Not Material,1.209,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
152,T1484.001,Group Policy Modification,6.25,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.084,Low,1.075,Low,1.22,High,1.137,Moderate,1.15,Moderate,1.077,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
153,T1222.001,Windows Permissions,6.25,Medium High,1.0,Not Material,1.28,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.209,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
154,T1480.001,Environmental Keying,6.25,Medium High,1.07,Low,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.112,Moderate,1.036,Low,1.0,Not Material
155,T1136.002,Domain Account,6.25,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.084,Low,1.0,Not Material,1.22,High,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
156,T1072,Software Deployment Tools,6.25,Medium High,1.245,High,1.28,High,1.272,High,1.21,High,1.25,High,1.22,High,1.0,Not Material,1.15,Moderate,1.022,Low,1.0,Not Material,1.036,Low,1.0,Not Material
157,T1021.006,Windows Remote Management,6.25,Medium High,1.07,Low,1.28,High,1.0,Not Material,1.0,Not Material,1.25,High,1.209,Moderate,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
158,T1564,Hide Artifacts,6.25,Medium High,1.157,Moderate,1.28,High,1.0,Not Material,1.28,High,1.05,Low,1.176,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
159,T1543,Create or Modify System Process,6.25,Medium High,1.0,Not Material,1.228,High,1.272,High,1.0,Not Material,1.0,Not Material,1.22,High,1.087,Low,1.15,Moderate,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
160,T1534,Internal Spearphishing,6.25,Medium High,1.245,High,1.28,High,1.272,High,1.28,High,1.25,High,1.176,Moderate,1.05,Low,1.105,Low,1.022,Low,1.0,Not Material,1.036,Low,1.0,Not Material
161,T1176.001,Browser Extensions,6.25,Medium High,1.21,High,1.228,High,1.112,Moderate,1.154,Moderate,1.188,Moderate,1.22,High,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.06,Low,1.0,Not Material
162,T1111,Multi-Factor Authentication Interception,6.25,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.154,Moderate,1.075,Low,1.176,Moderate,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.06,Low,1.0,Not Material
163,T1098,Account Manipulation,6.25,Medium High,1.087,Low,1.35,Severe,1.32,Severe,1.28,High,1.188,Moderate,1.198,Moderate,1.087,Low,1.135,Moderate,1.22,High,1.304,High,1.036,Low,1.0,Not Material
164,T1037.004,RC Scripts,6.25,Medium High,1.087,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.22,High,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
165,T1037,Boot or Logon Initialization Scripts,6.25,Medium High,1.087,Low,1.228,High,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.22,High,1.087,Low,1.15,Moderate,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
166,T1021,Remote Services,6.25,Medium High,1.21,High,1.28,High,1.272,High,1.098,Low,1.25,High,1.209,Moderate,1.137,Moderate,1.105,Low,1.022,Low,1.304,High,1.0,Not Material,1.0,Not Material
167,T1564.005,Hidden File System,6.25,Medium High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.176,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
168,T1550.003,Pass the Ticket,6.25,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.084,Low,1.075,Low,1.209,Moderate,1.05,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
169,T1547,Boot or Logon Autostart Execution,6.25,Medium High,1.087,Low,1.228,High,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.22,High,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
170,T1528,Steal Application Access Token,6.25,Medium High,1.298,High,1.35,Severe,1.32,Severe,1.28,High,1.05,Low,1.209,Moderate,1.175,Moderate,1.105,Low,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
171,T1218.001,Compiled HTML File,6.25,Medium High,1.157,Moderate,1.123,Moderate,1.0,Not Material,1.056,Low,1.188,Moderate,1.121,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
172,T1053.002,At,6.25,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
173,T1037.001,Logon Script (Windows),6.25,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.198,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
174,T1611,Escape to Host,6.25,Medium High,1.052,Low,1.105,Low,1.32,Severe,1.0,Not Material,1.05,Low,1.22,High,1.137,Moderate,1.135,Moderate,1.22,High,1.32,Severe,1.0,Not Material,1.0,Not Material
175,T1556,Modify Authentication Process,6.25,Medium High,1.228,High,1.35,Severe,1.32,Severe,1.28,High,1.238,High,1.22,High,1.175,Moderate,1.15,Moderate,1.022,Low,1.0,Not Material,1.036,Low,1.0,Not Material
176,T1552.006,Group Policy Preferences,6.25,Medium High,1.052,Low,1.228,High,1.0,Not Material,1.056,Low,1.075,Low,1.209,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
177,T1552,Unsecured Credentials,6.25,Medium High,1.157,Moderate,1.35,Severe,1.32,Severe,1.28,High,1.188,Moderate,1.176,Moderate,1.137,Moderate,1.135,Moderate,1.22,High,1.0,Not Material,1.036,Low,1.0,Not Material
178,T1546.011,Application Shimming,6.25,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.05,Low,1.198,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
179,T1137.001,Office Template Macros,6.25,Medium High,1.087,Low,1.263,High,1.0,Not Material,1.224,High,1.0,Not Material,1.22,High,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
180,T1136,Create Account,6.25,Medium High,1.087,Low,1.35,Severe,1.32,Severe,1.28,High,1.188,Moderate,1.22,High,1.087,Low,1.135,Moderate,1.22,High,1.304,High,1.036,Low,1.0,Not Material
181,T1649,Steal or Forge Authentication Certificates,6.25,Medium High,1.07,Low,1.35,Severe,1.224,High,1.266,High,1.05,Low,1.209,Moderate,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
182,T1564.006,Run Virtual Instance,6.25,Medium High,1.0,Not Material,1.0,Not Material,1.112,Moderate,1.0,Not Material,1.125,Moderate,1.176,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.32,Severe,1.0,Not Material,1.0,Not Material
183,T1564.002,Hidden Users,6.25,Medium High,1.0,Not Material,1.28,High,1.0,Not Material,1.084,Low,1.0,Not Material,1.176,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
184,T1556.006,Multi-Factor Authentication,6.25,Medium High,1.157,Moderate,1.35,Severe,1.32,Severe,1.28,High,1.075,Low,1.22,High,1.137,Moderate,1.15,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
185,T1547.012,Print Processors,6.25,Medium High,1.0,Not Material,1.228,High,1.064,Low,1.0,Not Material,1.0,Not Material,1.22,High,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
186,T1546,Event Triggered Execution,6.25,Medium High,1.157,Moderate,1.35,Severe,1.32,Severe,1.224,High,1.238,High,1.22,High,1.087,Low,1.15,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
187,T1484.002,Trust Modification,6.25,Medium High,1.07,Low,1.35,Severe,1.32,Severe,1.266,High,1.0,Not Material,1.22,High,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
188,T1021.003,Distributed Component Object Model,6.25,Medium High,1.07,Low,1.28,High,1.176,Moderate,1.098,Low,1.25,High,1.209,Moderate,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
189,T1564.008,Email Hiding Rules,6.25,Medium High,1.245,High,1.28,High,1.0,Not Material,1.28,High,1.05,Low,1.176,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
190,T1563.002,RDP Hijacking,6.25,Medium High,1.07,Low,1.28,High,1.0,Not Material,1.0,Not Material,1.25,High,1.209,Moderate,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
191,T1556.007,Hybrid Identity,6.25,Medium High,1.245,High,1.35,Severe,1.32,Severe,1.28,High,1.0,Not Material,1.22,High,1.0,Not Material,1.135,Moderate,1.022,Low,1.0,Not Material,1.036,Low,1.0,Not Material
192,T1556.001,Domain Controller Authentication,6.25,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.056,Low,1.0,Not Material,1.198,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
193,T1548,Abuse Elevation Control Mechanism,6.25,Medium High,1.087,Low,1.35,Severe,1.32,Severe,1.28,High,1.0,Not Material,1.165,Moderate,1.175,Moderate,1.15,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
194,T1547.008,LSASS Driver,6.25,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
195,T1137,Office Application Startup,6.25,Medium High,1.157,Moderate,1.35,Severe,1.0,Not Material,1.28,High,1.075,Low,1.198,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
196,T1558,Steal or Forge Kerberos Tickets,6.25,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.056,Low,1.05,Low,1.176,Moderate,1.137,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
197,T1552.007,Container API,6.25,Medium High,1.07,Low,1.35,Severe,1.32,Severe,1.14,Moderate,1.0,Not Material,1.209,Moderate,1.0,Not Material,1.06,Low,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
198,T1550,Use Alternate Authentication Material,6.25,Medium High,1.245,High,1.35,Severe,1.32,Severe,1.28,High,1.075,Low,1.121,Moderate,1.0,Not Material,1.105,Low,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
199,T1548.006,TCC Manipulation,6.25,Medium High,1.087,Low,1.105,Low,1.0,Not Material,1.154,Moderate,1.05,Low,1.154,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
200,T1222,File and Directory Permissions Modification,6.25,Medium High,1.0,Not Material,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.209,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
201,T1218.014,MMC,6.25,Medium High,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.209,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
202,T1137.002,Office Test,6.25,Medium High,1.087,Low,1.263,High,1.0,Not Material,1.224,High,1.0,Not Material,1.22,High,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
203,T1053,Scheduled Task/Job,6.25,Medium High,1.087,Low,1.228,High,1.272,High,1.0,Not Material,1.188,Moderate,1.22,High,1.087,Low,1.15,Moderate,1.22,High,1.304,High,1.036,Low,1.0,Not Material
204,T1687,Exploitation for Defense Impairment,6.25,Medium High,1.21,High,1.157,Moderate,1.32,Severe,1.21,High,1.188,Moderate,1.209,Moderate,1.0,Not Material,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
205,T1684,Social Engineering,6.25,Medium High,1.245,High,1.35,Severe,1.272,High,1.28,High,1.238,High,1.176,Moderate,1.087,Low,1.135,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
